,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other,RF
192901,3.83,9.8,4.13,10.6,1.86,6.97,-1.54,3.77,23.22,-0.88,8.26,8.12,12.52,13.13,1.3,1.22,8.82,2.09,-7.75,13.51,13.72,-0.3,3.18,5.92,5.07,-4.61,-3.63,0.22,8.46,1.55,0.34
192902,-1.31,-3.7,-4.28,1.52,-1.13,-6.56,-3.72,0.41,0.17,2.71,-3.02,9.19,1.56,-0.95,0.78,1.28,8.79,1.25,0.2,-1.63,-0.79,11.38,1.8,6.58,-1.1,-2.83,-2.13,0.52,1.19,-5.82,0.36
192903,-4.36,-2.56,-3.85,-9.49,-6.71,-7.31,-4.98,-1.16,-3.03,-6.93,-5.79,0.27,-3.86,5.59,-1,1.03,4.44,-6.18,12.41,-2.83,4.63,-1.08,2.26,1.86,-2.5,-9.23,-4.79,-3.19,-0.81,-7.07,0.34
192904,4.04,13.99,-2.05,1.03,2.09,0.92,3.98,1.84,4.12,3.1,4.08,1.51,4.59,1.42,-0.87,0.08,-5.5,-1.81,1.25,5.49,3.75,4.3,4.64,8.27,1.68,3.94,3.92,10.73,0.87,-10.37,0.36
192905,-4.66,-10.56,0.23,-7.63,0.75,-9.93,-6.1,-7.4,-6.58,-13.42,-6.45,-11.97,-9.22,1.27,-14.72,-7.26,-10.55,-4.54,-5.16,5.24,-8.33,-4.48,-0.91,-7.73,2.91,-6.1,-8.41,-2.46,-2.79,-12.77,0.44
192906,8.61,13.03,0.39,6.43,11.16,15.23,6.15,5.04,20.5,3.02,8.17,11.23,15.77,19.75,7.38,11.26,2.94,2.7,1.61,23.99,14.22,19.53,10.51,13.11,6.52,-2.45,9.73,19.63,6.82,5.6,0.52
192907,5.22,1.94,2.38,-1.86,1.27,6.88,-3.66,2.92,5.45,-3.35,4.29,3.8,5.55,10.43,-3.59,5.35,-2.03,20.15,-0.53,9.47,14.01,-0.4,6.05,7.14,8.62,-2.68,1.39,2.16,8.69,4.82,0.33
192908,4.57,10.19,8.69,6.61,1.9,3.92,1.37,3.49,12.22,0.66,3.32,12.22,11.02,13.78,2.43,2.39,9.32,5.66,12.14,9.45,11.38,-3.31,9.38,9.85,8.71,-5.39,8.55,5.11,6.22,-2.59,0.4
192909,-1.94,-1.91,-7.27,-1.29,-1.36,7.14,-3.76,-6.67,-6.44,-2.9,-2.67,-8.61,-5.41,-11.12,-8.63,-8.77,-4.44,-1.7,-2.66,1.67,-1.02,39.05,10.15,-4.24,-7.36,-0.31,-5.27,-2.86,-5.4,0.17,0.35
192910,-14.11,-25.8,2.78,-16.88,-11.76,-32,-8.87,-17.56,-24.21,-20.86,-16.52,-15.04,-21.96,-29.74,-27.65,-21.17,-12.56,-6.18,-9.81,-29.58,-14.93,-13.13,-18.47,-14.38,-7.57,-22.74,-23.67,-19.13,-28.38,-32.17,0.46
192911,-9.16,-11.48,-5.83,-17.64,-2.99,-14.36,-9.87,-7.53,-15.67,-15.44,-10.27,-13.46,-13.6,-17.98,-17.26,-9.97,-14.63,-4.4,-6.15,-14.27,-9.1,-9.61,-21.59,-13.84,-7.51,-6.3,-12.11,-9.91,-13.51,-14.93,0.37
192912,0.25,2.4,3.09,-8.33,0.58,1.5,4.07,1.48,6.72,-5.89,-0.92,-0.08,3.63,13.17,4.34,3.53,-1.33,-5.18,-0.54,8.31,1.38,-1.46,4.57,0.07,0.37,-0.44,-6.11,4.04,-0.03,-8.29,0.37
193001,5.19,-8.47,8.7,28.26,2.24,10.46,3.82,2.69,8.31,10.64,7.33,5.83,8.57,11.09,6.52,2.54,6.23,0.47,-0.68,7.39,1.34,-48.71,9.57,7.71,4.01,3.25,4.55,11.87,9.88,31.92,0.14
193002,0.28,1.45,5.82,17.48,7.22,-8.59,-0.02,3.45,2.76,6,0.9,0.39,5.03,8.13,3.91,6.58,-0.64,4.82,-4.74,8.87,7.36,59.2,7.75,8.64,2.39,-4.32,-5.05,0.45,6.15,-1.67,0.3
193003,1.36,-7.92,4.65,16.23,2.82,0.16,7.65,6.34,10.65,-2.21,3.9,5.89,5.56,9.48,13.03,6.26,2.1,1.3,19.43,10.07,9.14,9.76,4.85,6.5,4.25,-4.56,-2.39,5.27,9.09,6.61,0.35
193004,3.44,-11.12,-2.67,5,1.16,-1.32,-0.92,-1.06,-5.1,-9.67,-5.2,-13.17,6.45,3.18,-8.41,-6.32,-13.35,-8.19,7.61,3.55,-4.31,-0.21,-1.56,-2.56,-6.92,4.88,2.79,2.65,-3.87,-3.03,0.21
193005,2.12,-0.19,2.12,-3.3,-0.61,-7.19,-3.94,-1.23,-2.08,-5.51,-1.1,0.45,-5.42,-4.64,5.3,-5.49,5.66,-1.76,-3.55,-1.07,0.66,-14.49,-2.18,0.32,-0.18,-7.95,0.33,-1.6,-5.45,-7.89,0.26
193006,-11.28,-28.92,-8.59,-22.9,-11.7,-24.3,-12.13,-13.07,-17.46,-17.99,-18.27,-12.96,-16.8,-19.8,-22.38,-17.47,-7.7,-11.28,-15.4,-18.79,-8.07,-3.2,-18.2,-16.66,-9.59,-23.83,-15.81,-16.99,-21.17,-17.78,0.27
193007,3.42,1.94,3.13,2.97,3.85,6.04,3.43,6.72,5.65,5.6,7.94,3.61,3.24,4.19,12.01,5,3.84,-1.26,5.7,4.26,1.47,2.08,4.58,7.71,3.45,-1.06,2.98,2.99,4.62,8.69,0.2
193008,1.72,9.33,4.71,3.8,-2.09,0.72,-2.8,7.8,4.44,-1.36,-2.54,-2.37,1.06,1.72,-2.15,0.43,-13.05,2.49,-3.38,1.27,1.83,5.85,4.52,-1.35,0.41,-7.62,5.51,1.84,1.35,-0.77,0.09
193009,-9.81,-12.06,-8.56,-18.01,-3.56,-10.31,-3.15,-8.48,-13.9,-12.79,-15.5,-11.62,-16.37,-19.83,-16.2,-17.41,-9.05,-5.66,-15.72,-11.7,-5.05,-6.45,-11.23,-12.6,-8.16,-9.43,-10.58,-13.76,-17.87,-17.92,0.22
193010,-4.8,-1.15,-4.65,-8.76,-6.69,-4.53,-5.1,-4.28,-12.23,-3.62,-14.36,-8.86,-10.57,-18.55,-11.13,-11.61,-10.5,-11.36,-8.1,-8.19,-4.03,0.36,-12.92,-3,-6.68,-5.91,-8.49,-10.29,-15.25,-14.62,0.09
193011,1.16,3.67,-0.8,-6.31,-2.85,-1.71,1.64,-3.1,0.23,-4.22,-2.77,-1.17,-0.6,-3.48,6.04,3.76,4.66,-9.49,-3.27,-8.61,-3.14,-6.53,-2.02,0.36,-5.29,2.88,3.1,-2.33,-8.19,2.36,0.13
193012,-4.66,-11.44,-2.97,-15.04,-4.88,-6.01,-7.33,-6.65,-4.56,-6,-12.1,-8.62,-9.4,-11.89,-1.44,-14.51,-8.18,-8.69,-12.35,-3.55,-3.66,1.14,-6.65,-5.67,-7.77,-3.8,-13.72,-8.03,-12.28,-13.1,0.14
193101,5.68,6.77,6.58,16.34,1.93,8.92,-0.07,8.38,-0.55,13.48,6.2,3.16,5.75,5.2,7.2,11.26,7.11,14.31,4.99,5.68,4.94,5.96,5.96,3.04,11.74,5.02,7.37,7.2,18.74,17.79,0.15
193102,7.08,16.79,6.98,8.47,2.14,6.25,2.96,7.85,13.62,15.48,14.37,14.39,11.81,25.1,17.34,11.54,14.2,-0.6,6.17,15.31,5.99,2.06,14.56,12.83,2.34,-2.01,15.37,11.15,17.1,16.29,0.04
193103,-2.41,-26.55,0.35,-6.19,-1.48,-3.6,1.44,1.93,-7.12,-2.97,-6.05,-7.21,-8.09,-7.84,-4.05,-7.83,-6.58,-12.77,-14.2,-2.81,-3.45,1.22,-6.98,-0.3,-10.31,-3,-3.12,-5.35,-8.35,17.24,0.13
193104,-8.39,-20.67,2.77,-27.25,-9.73,-4.17,-8.13,-3.54,-12.75,-12.05,-13.76,-17.19,-15.69,-14.55,-7.64,-16.52,-12.76,-9.85,-13.56,-8.96,-4.17,-1.25,-7.91,-8.17,-7.2,-4.3,-4.42,-12.58,-15.11,-18.56,0.08
193105,-12.12,-9.57,-11.04,-23.69,-10.58,-10.85,-0.4,-10.17,-11.91,-7.47,-15.65,-20.63,-18.93,-11.38,-15.79,-16.48,-8.51,-18.56,-12.1,-11.06,-8.85,-50.56,-17.09,-14.99,-17.07,-15.11,-2.82,-6.13,-18.84,-7.52,0.09
193106,10.64,10.29,12.71,22.71,1.78,8.61,11.73,9.77,19.52,8.49,14.89,19.46,12.38,18.65,15.22,21.46,7.06,22.33,17.4,11.08,10.29,1.63,19.15,15.46,16.16,2.87,8.1,5.2,23.46,14.05,0.08
193107,-3.95,-9.9,-3.43,-8.73,-2.97,-1.65,-3.25,2.67,-6.25,-5.58,-10,-15.09,-12.11,-10.25,-2.32,-9.01,-8.06,-16.11,-2.93,-5.33,-4.81,-1.47,-10.52,-12.66,-10.41,-8.05,-1.13,-8.12,-8.66,1.78,0.06
193108,1.5,13.85,-3.48,7.11,-6.2,-1.02,-2.37,0.42,1.4,0.34,-2.92,0.59,-1.7,3.83,-2.63,-3.02,2.6,-2.86,10.05,-1.71,0.85,0.22,3.46,0.94,-6.77,1.4,3.14,1.13,0.41,-0.31,0.03
193109,-28.35,-25.14,-21.67,-42.46,-22.1,-34.94,-8.36,-29.42,-30.39,-21.57,-31.24,-27.11,-33.32,-34.5,-34.85,-30.91,-31.76,-29.66,-29.81,-33.02,-21.53,-16.63,-31.76,-23.61,-20.64,-26.09,-30.38,-27.14,-39.86,-26.32,0.03
193110,10.75,25.28,6.18,19.08,-17.85,16.37,-2.37,11.36,5.01,2.87,5.66,2.17,9.18,11.86,12.38,13.33,18.81,2,14.58,10.58,4.44,2.51,10,11.68,-2.96,7.47,14.3,11.21,12.07,4.84,0.1
193111,-2.86,-10.49,-5.93,-30.26,-10.08,-7.48,-1.14,-2.62,-4.94,-9.97,-9.74,-9.93,-7.09,-15.7,-3.51,-12.8,-15.15,-17.56,-8.21,-4.6,-6.69,-2.99,-8.66,-9.59,-21.15,-17.61,-8.95,-14.4,-10.93,-4.05,0.17
193112,-10.18,-7.71,-6.14,-30.23,-20.9,-9.06,-14.09,-3.98,-6.17,-6.47,-17.42,-25.47,-17.31,-14.09,-8.13,-16.64,-12.73,-22.6,-18.67,-13.12,-7.82,-21.3,-11.49,-12.03,-14.73,-22.21,-15.05,-13.2,-20.85,-13.47,0.12
193201,-1.27,-5.68,8.4,17.22,-5.08,1.62,4.94,-2.43,-5.62,1.28,-0.93,3.59,1.71,-13.98,-7.62,12.58,1.64,6.01,-4.94,-2.29,-3.81,-0.57,-3.33,-0.51,8.19,-0.05,1.16,-3.63,4.07,5.57,0.23
193202,7.69,18.03,3.51,6.46,-1.01,3.16,1.2,2.28,9.12,3.35,10.53,5.26,-1.12,8.82,2.25,1.86,-1.71,-3.27,9.38,7.27,11.86,2.32,0.74,11.83,-3.85,4.05,4.26,7.66,13.8,3.69,0.23
193203,-6.91,-11.13,-4.35,-22.2,-11.57,-16.57,-2.22,-6.25,-11.44,-3.83,-13.95,-16.53,-12.4,-17.01,-21.97,-21.25,-5.98,-16.27,-0.49,-9.41,-9.74,-1.28,-6.78,-8.16,-17.39,-43.69,-8.75,-7.06,-15.02,-14.19,0.16
193204,-12.89,-9.66,-9.78,-23.85,-14.04,-8.54,-4.91,-19.66,-33.19,-11.54,-15.61,-19.47,-20.16,-22.86,-28.47,-15.19,-14.33,-17.42,-13.74,-15.39,-12.28,-4.84,-26.96,-29.18,-24.83,-4.56,-15.5,-19.65,-19.11,-17.08,0.11
193205,-22.86,-25.24,-21.39,-44.16,-26.18,-20.93,-3.75,-34.02,-10.12,-22.95,-17.6,-22.9,-21.08,-33.68,-18.39,-24.94,-10.81,-21.92,-5.11,-26.76,-10.75,-2.13,-15.43,-15.49,-33.62,-36.56,-29.29,-26.05,-30.28,-14.64,0.06
193206,-0.26,19.28,5.87,11.24,-22.22,-15.67,-5.02,11.07,-5,-4.83,2.77,2.11,-5.58,10.17,-7.44,9.7,-10.17,-5.18,6.19,1.47,-9.53,-20.12,0.64,-3.59,-2.98,6.58,-0.68,0.07,6.3,-1.84,0.02
193207,30.62,19.47,24.7,66.18,45.63,34.61,-20.98,29.21,29.01,30.49,34.67,62.16,43.69,55.52,44.6,45.1,46.13,56.25,34.78,29.38,16.73,24.59,19.38,21.52,61.33,16.3,27.36,25.42,52.01,30.57,0.03
193208,24.18,40.18,17.63,66.71,40.48,26.46,27.25,35.9,36.43,58.54,37.62,59.13,52.11,50.04,48.43,44.85,29.6,125.46,17.3,43.49,28.2,-0.75,33.14,42.72,65.39,57.67,33.05,24.53,59.13,37.92,0.03
193209,-1.28,-3.02,0.14,-10.27,1.02,0.27,1.24,-11.89,5.79,-11,2.37,-9.99,-4.19,-5.99,5.78,10.29,-5.63,-5.86,-10.31,-4.62,0.27,-1.77,-4.19,-3.05,-2.51,24.82,3.02,1.35,-6.82,-9.84,0.03
193210,-9.41,-12.65,-13.96,-25.95,-22.51,-10.97,-8.7,-18.54,-16.14,-12.97,-15.66,-15.76,-22.36,-21.29,-24.6,-21.25,-7.12,-21.22,-3.02,-10.8,-8.11,-2.77,-11.76,-3.91,-19.61,-20.2,-12.51,-14.19,-17.06,-8.21,0.02
193211,-6.59,-5.24,-8.32,-10.17,-3.88,-5.3,-4.2,5.55,-1.68,-9.61,-6.05,-22.53,-6.56,-9.36,-2.7,-6.89,2.37,-19.41,-4,-3.58,-1.1,0.26,-4.98,-2.83,-9.55,-10.36,-5.53,-6.57,-3.37,-9.87,0.02
193212,7.19,6.52,0.92,-12.57,-11.61,1.59,-1.62,6.83,13.03,-6.85,1.05,-8.3,2.8,7.55,5.27,6.15,-1.57,-7.22,0.28,9.13,3.68,-1.45,7.5,9.27,5.83,-10.06,5.26,3.68,8.92,-3.63,0.01
193301,0.69,-15.5,11.42,-24.2,0.69,-7.32,10.59,-1.12,4.18,-2.29,-1.07,2.65,6.7,0.37,0.76,10.52,-0.16,9.5,-3.34,-4.37,0.32,9.13,4.29,10.52,14.35,-6.3,-2.7,9.04,1.52,-1.39,0.01
193302,-9.69,-11.62,-8.58,-19.48,-20.82,-21.22,-4.53,-10.85,-16.49,-7.19,-16.76,-17.06,-23.36,-22.47,-24.92,-17.76,-8.18,-23.44,-13.64,-19.88,-7.8,-10.71,-14.14,-12.79,-16.38,-7.83,-18.04,-18.27,-20.19,-6.3,-0.03
193303,12.2,25.56,7.97,-10.1,15.84,11.63,8.9,-3.12,5.18,2.64,12.67,14.76,23.98,7.29,9.73,13.19,8.79,9.72,4.28,-12.75,-5.81,0.92,3.9,6.85,7.02,0.11,8.94,0.85,-6.8,1.16,0.04
193304,33.41,29.12,33.14,62.24,52.1,58.43,41.5,37.23,46.7,53.07,39.84,80.94,48.77,59.68,81.98,48.15,26.49,35.84,39.18,25.46,13.32,1.51,39.05,43.23,27.99,46.28,43.61,9.99,43,45.39,0.1
193305,11.24,87.65,9.22,54.01,24.61,17.99,26.06,23.53,28.82,39.49,43.84,23.33,30.5,18.98,25.32,25.56,32.74,31.73,17.36,19.33,17.41,11.5,22.29,14.61,32.62,57.53,16.47,24.95,26.18,45.77,0.04
193306,13.22,35.19,4.74,18.88,27.46,6.37,2.45,10.41,11.73,20.46,21.28,11.32,14.55,10.13,19.71,19.72,12.62,25.04,12.12,15.6,10.52,4.14,12.74,5.26,13.82,49.92,16.06,11.62,18.46,16.19,0.02
193307,-8.14,-14.95,-2.08,-7.36,-22.51,-9.11,-4.31,-19.09,-9.14,-15.66,-14.91,-10.15,-20.05,-11.34,-6.78,-16.29,-8.76,-24.31,-11.59,-13.56,-4.34,-1.06,-10.29,-5.5,-4.44,-12.85,-13.38,-16.14,-12.36,-2.85,0.02
193308,8.97,33.23,10.2,29.34,22.2,11.3,5.86,-0.35,21.07,10.94,14.62,11.58,19.76,13.5,19.92,23.96,17.17,16.84,19.17,-1.2,4.56,-1.77,11.41,10.72,15.64,12.55,7.08,8.06,9.23,22.22,0.03
193309,-8.71,-5.78,-3.68,-7.96,-26.61,-12.15,-11.96,-1.29,-7.7,-10.18,-14.57,-8.92,-15.69,-19.28,-15.11,-14.47,5.6,-20.23,-2.15,-19.72,-3.54,-3.06,-11.35,-4.16,-20.09,-21.75,-8.43,-11.96,-16.85,-11.42,0.02
193310,-8.16,-3.36,-11.59,-12.73,-6.28,-6.4,-3.67,-6.01,-4.65,-9.84,-6.64,-12.58,-5.36,-10.88,-10.25,-13.51,-4.58,-17.86,-4.52,-7.49,-7.17,69.38,-6.88,-2.64,-12.64,-7.16,-7.61,-16.75,-13.09,-7.68,0.01
193311,6.01,-7.17,4.47,4.78,-0.24,7.55,9.67,9.42,15.62,3,10.5,10.98,13.39,12.07,25.65,12.5,0.07,8.06,14.85,-2.37,5.65,-0.11,14.68,10.68,6.39,7.41,14.76,6.35,6.57,8.73,0.02
193312,-3.22,-1.47,-4.85,-4.12,2.88,-4.31,-1.84,-11.71,6.77,6.21,3.59,5.07,2.26,0.54,9.62,8.09,-1.16,-3.45,-1.13,1.07,-3.73,-0.88,3.71,3.2,6.91,-8.12,4.88,-0.55,3.52,7.76,0.02
193401,10.29,15.4,6.51,16.64,26.74,10.49,16.36,16.82,4.7,23.24,16.63,12.94,18.68,17.38,13.12,24.74,2.33,26.09,8.43,20.57,6.02,4.73,13.34,4.3,20.85,26.55,16.94,30.7,23.94,13.27,0.05
193402,-6.49,-12.43,-3.08,9.58,1.05,0.43,-3.43,-3.57,-2.69,1.37,-6.58,-1.96,-4.07,-8.17,-2.48,-9.09,2.89,-0.01,-3.43,-1.67,2.14,-0.43,-1.96,2.2,-3.13,5.39,2.97,5.59,-1.77,5.54,0.02
193403,2.35,2.86,-0.56,4.64,5.79,-6.08,-1.91,-0.62,-0.92,0.8,-1.47,-1.16,-0.32,6.49,-0.33,0.58,4.68,-6.6,-1.19,-1.78,1.29,2.01,-3.89,-1.39,0.06,2.34,2.31,7.25,0.68,-1.59,0.02
193404,3.22,-1.14,4.18,-3.56,10.42,-0.07,-1.54,8.01,-3.2,-2.39,-1.29,-4.72,-4.11,-4.4,-6.55,-2.33,-2.91,-1.78,-1.99,-3.74,-1.24,0.77,2.67,3.06,-1.39,2.24,-1.13,-5.98,-1,-1.13,0.01
193405,-4.23,-17.57,1.41,-2.72,-7.68,-6.06,-5.18,-0.37,-7.04,-12.08,-10.62,-12.57,-13.18,-8.11,-13.13,-12.59,1.14,-9.05,-4.52,-7.72,-4.29,-1.43,-3.21,-7.65,-8.96,-9.36,-7.78,-13.47,-8.32,-7.91,0.01
193406,3.69,-2.81,5.18,-13.47,0.05,6.3,2.24,2.05,4.42,2.03,5.15,6.3,2.52,1.43,-2.87,-3.53,3.64,3.52,1.16,4.27,1.33,0.85,5.72,4.34,3.31,-3.03,2.59,-2.71,5.11,5.87,0.01
193407,-5.51,-24.34,-0.89,-24.91,-20.14,-8.81,-8.44,-1.88,-5.12,-17.81,-16.7,-16.24,-18.27,-14.2,-14.32,-17.26,-10.55,-23.11,-9.43,-17.23,-4.33,-2.2,-7.38,-3.22,-19.37,-15.86,-8.07,-16.59,-14.77,-6.37,0.01
193408,4.44,14.29,3.64,21.73,4,7.56,1.81,-3.04,6.22,5.8,10.67,8.83,10.63,7.18,11.2,2.65,9.92,8.54,6.09,2.05,2.57,-38.56,5.57,5.01,2.92,9.76,4.62,8.22,5.64,7.24,0.01
193409,-1.57,-1.75,2.63,9.81,-2.12,-3.22,1.71,0.81,0.82,4.3,-2.29,-4.28,2.65,-0.81,0.59,-2.28,-3.59,4.05,-2.43,1.62,1.91,3.7,0.6,1.55,0.44,0.48,2.69,-2.54,-2.38,-0.38,0.01
193410,-1,3.22,2.88,-5.01,-1.72,6.24,2.64,-0.7,0.27,-4.36,3,-6.03,1.83,-4.71,-2.48,2.1,-6.51,-0.44,-4.76,-7.6,-1.55,63.63,5.88,1.5,-3.26,7.91,1.7,-3.3,1.9,3.38,0.01
193411,7.18,20.1,9.03,13.61,16.9,12.16,6.51,4.08,8.82,15.69,14.9,13.09,21.67,15.59,17.66,21.02,-0.99,5.35,7.07,-0.24,-1.72,2.34,10.2,8.03,5.74,11.68,9.6,10.5,8.71,15.23,0.01
193412,0.06,2.11,-2.89,-0.82,1.53,0.66,3.41,0.63,-0.33,-4.44,0.81,4.17,8.36,5.42,3.57,1.14,2.28,1.2,0.68,-8.65,-0.58,-36.97,0.69,4.46,-0.36,3.48,-1.2,4.26,1.44,-0.44,0.01
193501,-0.36,-8.26,-2.18,-7.47,-3.71,1.65,-0.94,-0.85,-1.39,-2.03,-3.11,-5.75,-0.82,2.68,-9.14,-2.73,-5.46,-7.59,-4.3,-3.15,-0.45,-11.49,-1.61,1.29,-7.59,-10.66,-5.19,-5.03,-4.95,-5.88,0.01
